iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,5698.2526286,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0398479,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,23.260345,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,178853.3856,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,179854.50229,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,181155.761508,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1.320102,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,17.343749,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,133249.9264,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,133996.49899199998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,134966.764228,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
